pop,A,year,S_obs,n_age3_obs,n_age4_obs,n_age5_obs,n_H_obs,n_W_obs,fit_p_HOS,B_take_obs,F_rate,watershed,SST_spr_mean,upwell_spr,hatch_release,Spartina_acre,OGSI_mean,OGSI_mean_sbuff50,OGSI_mean_sbuff100,OGSI_mean_sbuff250
1,1.2,2021,9970,257,76,7,0,0,FALSE,0,0.134924262,Ellsworth,11.092008511225382,0.01044444444444445,2599462,0.0183,25.056717081850532,29.259124087591243,28.090529247910865,26.189896852684473
1,1.2,2022,11405,188,288,14,0,0,FALSE,0,0.180274761,Ellsworth,11.47278904914856,0.23922222222222225,2928658,0.0183,25.056717081850532,29.259124087591243,28.090529247910865,26.189896852684473
2,1.6,1984,8476,58,53,3,0,0,FALSE,0,0.35034303,Canon,11.293254137039185,0.25092682501550867,8600000,1105.336516,19.689212752674745,23.72820969589006,21.634464579901152,20.064967999033932
2,1.6,1985,10703,76,38,1,0,0,FALSE,0,0.263371376,Canon,11.57012383143107,0.16418431736004535,6237000,1237.976898,19.689212752674745,23.72820969589006,21.634464579901152,20.064967999033932
2,1.6,1986,6194,8,105,1,0,0,FALSE,0,0.490574096,Canon,11.718715190887451,0.21622982195332335,3228000,1386.534126,19.689212752674745,23.72820969589006,21.634464579901152,20.064967999033932
2,1.6,1987,6580,71,36,8,0,0,FALSE,0,0.669130767,Canon,11.531917572021484,0.06544444444444444,4224600,1552.918221,19.644995483676716,23.68359424716813,21.630201121002308,20.023325286662644
2,1.6,1988,12987,2,109,4,0,0,FALSE,0,0.661598035,Canon,11.904336214065552,0.16844444444444445,0,1739.268407,19.751838988717992,23.719953922948932,21.642055640395725,20.12492800194016
2,1.6,1989,2498,16,40,59,0,0,FALSE,0,0.515094032,Canon,11.69222354888916,0.1361111111111111,0,1947.980616,19.89369057908384,23.766781741465287,21.697504645606585,20.252753588008616
2,1.6,1990,3608,4,102,9,0,0,FALSE,0,0.143724645,Canon,11.282551924387612,0.19866666666666663,0,2181.73829,19.94712792326759,23.762919484496617,21.69621006680336,20.317692261148423
2,1.6,1991,7458,28,68,19,0,0,FALSE,0,0.495867769,Canon,12.725496927897137,0.19144444444444444,0,2443.546885,19.9615368058545,23.723333758124124,21.724985139686943,20.361403932703055
2,1.6,1992,7566,2,107,6,0,0,FALSE,0,0.629542691,Canon,12.538774808247885,-0.052,320756,2736.772511,19.872651446751796,23.687245417515275,21.65016153491132,20.268258850491527
2,1.6,1993,6130,8,38,69,0,0,FALSE,0,0.29340035,Canon,12.091176430384316,0.15711111111111112,99703,3065.185212,19.77322918895784,23.62785388127854,21.60542564372044,20.192596373243664
2,1.6,1994,6565,28,70,17,0,0,FALSE,0,0.035714286,Canon,12.247067292531332,0.189,345800,3433.007438,19.35984524623803,23.191419141914192,21.14068865816796,19.727556409025443
2,1.6,1995,5728,32,64,18,0,0,FALSE,0,0.076418819,Canon,11.81889804204305,0.06966666666666668,37700,3844.96833,19.088706058339564,22.957454914909828,20.898987907465827,19.447577621118946
2,1.6,1996,4151,12,98,4,0,0,FALSE,0,0.093103296,Canon,12.578506151835125,0.09644444444444444,0,4306.36453,18.693085606773284,22.827896941236197,20.650282560126165,19.10314506932357
2,1.6,1997,7508,50,62,3,0,0,FALSE,0,0.005852745,Canon,12.72436793645223,0.25222222222222224,0,4823.128274,18.167568723927698,22.62962022100851,20.39222777485534,18.697370001200913
2,1.6,1998,14934,15,91,9,0,0,FALSE,0,0.134686804,Canon,10.887162367502848,0.321,152500,5401.903666,17.97585874799358,22.564483371414063,20.303030303030305,18.549825804901488
2,1.6,1999,5302,58,34,23,0,0,FALSE,0,0.053074629,Canon,11.777251243591309,0.22533333333333333,0,6050.132106,17.564002654734633,22.32520634920635,19.96455113449523,18.150390625
2,1.6,2000,8314,29,84,1,0,0,FALSE,0,0.142318748,Canon,11.144559780756632,0.2701111111111111,0,6776.147959,17.43786665524772,22.116541830646185,19.84843503419253,18.047886562321622
2,1.6,2001,6718,41,68,6,0,0,FALSE,0,0.440409284,Canon,10.872010946273804,0.2856666666666667,273800,7589.285714,17.454866763773456,22.106693763495493,19.94722295340879,18.130869761153672
2,1.6,2002,13627,56,50,10,0,0,FALSE,0,0.348126381,Canon,12.170888980229696,0.21666666666666667,280000,8500,17.65071883101579,22.435825822013456,20.284511673791517,18.373993510395387
2,1.6,2003,12682,9,102,4,0,0,FALSE,0,0.436249764,Canon,12.700746695200602,0.22144444444444444,615000,7400,17.40228650019341,22.73537639877925,20.41641397495056,18.284167671893847
2,1.6,2004,17973,14,87,14,0,0,FALSE,0,0.259981527,Canon,12.547542174657186,0.1237777777777778,18700,6300,17.11942106743396,22.458073546252702,19.819348861831656,17.824968879982997
2,1.6,2005,1970,19,70,26,0,0,FALSE,0,0.574043794,Canon,11.608026345570885,0.418,537150,3250,16.387388368547157,21.695114172726115,18.81649731022116,16.95043999022244
2,1.6,2006,2672,15,93,6,0,0,FALSE,0,0.350815206,Canon,11.321085770924888,0.1622222222222222,185280,2310,15.827760472259133,20.926176208083643,18.18684315551417,16.34083473475004
2,1.6,2007,3284,15,89,10,0,0,FALSE,0,0.015621463,Canon,10.221741517384848,0.32222222222222224,526900,250,15.183285127112194,20.257463638683337,17.5348929948159,15.643240605173256
2,1.6,2008,1830,20,89,8,0,0,FALSE,0,0.267934113,Canon,10.98063826560974,0.2563333333333333,78050,85,12.742755675628567,16.55693449334698,14.75512513312034,13.218491246295336
2,1.6,2009,2306,66,39,10,0,0,FALSE,0,0.269490942,Canon,11.654947996139526,0.102,385872,18,12.12372977452135,16.318234165067178,14.495214038819462,12.807780390240923
2,1.6,2010,5039,25,88,3,0,0,FALSE,0,0.056065316,Canon,11.322720050811768,0.13166666666666663,593814,2.5,12.682698164099888,16.884108080420027,15.079195432819969,13.400481076637336
2,1.6,2011,12459,2,111,2,0,0,FALSE,0,0.041990201,Canon,11.342132806777954,0.04644444444444444,600200,1.6,13.00824241894226,17.58236272878536,15.695600159510834,13.839802119278104
2,1.6,2012,4569,15,51,49,0,0,FALSE,0,0.381457661,Canon,11.63262708981832,0.1468888888888889,912572,1.02,13.466506497761277,18.457237681899414,16.54185168003181,14.43470832316329
2,1.6,2013,2955,31,50,9,0,0,FALSE,0,0.096338905,Canon,12.14900255203247,0.19644444444444445,769959,0.9,13.943691095487887,19.277572357516256,17.30196806043337,15.046775077653937
2,1.6,2014,3771,31,81,3,0,0,FALSE,0,0.124512848,Canon,12.71275313695272,0.405,1006576,1.1,14.381603507401138,20.27671755725191,17.95898011757712,15.481635250621247
2,1.6,2015,9574,136,285,15,0,0,FALSE,0,0.067981329,Canon,13.096447706222534,0.28522222222222227,1704376,0.4,15.607805529814884,21.921259842519685,19.41318232699019,16.89464318031007
2,1.6,2016,9525,5,233,12,0,0,FALSE,0,0.06631364,Canon,12.117044766743978,0.09422222222222222,1521504,0.31,16.367072279313756,23.05901764183272,20.145501251482017,17.476094357243998
2,1.6,2017,2211,113,40,44,0,0,FALSE,0,0.022670697,Canon,12.320975065231323,0.15333333333333332,2434710,0.6243,16.771149323610004,23.772738821138212,20.526381661287136,17.697286517193447
2,1.6,2018,4297,517,106,4,0,0,FALSE,0,0.061880404,Canon,11.914112567901611,0.31766666666666665,2335307,0.6983,16.700787231748087,23.965359725923108,20.474591890468663,17.530010572421084
2,1.6,2019,4901,228,262,5,0,0,FALSE,0,0.007944592,Canon,12.042041381200155,0.18888888888888888,2629955,0.1926,16.691117281160544,23.713126188966392,20.23638157894737,17.33259009280463
2,1.6,2020,6684,108,312,3,0,0,FALSE,0,0.065456859,Canon,11.503767808278402,0.274,2503780,0.1392,17.372384488271777,23.915546538168908,20.54906342425238,17.861289934420313
2,1.6,2021,11156,116,41,1,0,0,FALSE,0,0.134924262,Canon,11.092008511225382,0.01044444444444445,2599462,0.0183,17.808516559977736,24.176850912778903,20.836792328911073,18.245311372926185
2,1.6,2022,13206,66,181,8,0,0,FALSE,0,0.180274761,Canon,11.47278904914856,0.23922222222222225,2928658,0.0183,17.808516559977736,24.176850912778903,20.836792328911073,18.245311372926185
3,1.1,1984,4912,19,17,1,0,0,FALSE,0,0.35034303,LowerSalmon,11.293254137039185,0.25092682501550867,8600000,1105.336516,17.116125112605534,20.487459427559752,19.22013888888889,17.639424909059414
3,1.1,1985,4977,25,12,0,0,0,FALSE,0,0.263371376,LowerSalmon,11.57012383143107,0.16418431736004535,6237000,1237.976898,17.116125112605534,20.487459427559752,19.22013888888889,17.639424909059414
3,1.1,1986,3713,3,34,0,0,0,FALSE,0,0.490574096,LowerSalmon,11.718715190887451,0.21622982195332335,3228000,1386.534126,17.116125112605534,20.487459427559752,19.22013888888889,17.639424909059414
3,1.1,1987,3813,23,12,3,0,0,FALSE,0,0.669130767,LowerSalmon,11.531917572021484,0.06544444444444444,4224600,1552.918221,17.050496584670828,20.49690174092653,19.17416814637536,17.56459379871817
3,1.1,1988,3892,1,35,1,0,0,FALSE,0,0.661598035,LowerSalmon,11.904336214065552,0.16844444444444445,0,1739.268407,17.17368696928399,20.71030106257379,19.32104775150672,17.707704582509454
3,1.1,1989,2387,5,13,19,0,0,FALSE,0,0.515094032,LowerSalmon,11.69222354888916,0.1361111111111111,0,1947.980616,17.14015246711904,20.754722550177096,19.329035744615148,17.66940316602584
3,1.1,1990,888,1,33,3,0,0,FALSE,0,0.143724645,LowerSalmon,11.282551924387612,0.19866666666666663,0,2181.73829,17.098775527319997,20.912272928666372,19.358908978519548,17.67620236485315
3,1.1,1991,1557,9,22,6,0,0,FALSE,0,0.495867769,LowerSalmon,12.725496927897137,0.19144444444444444,0,2443.546885,16.81660150502375,20.64689349112426,19.160845659412995,17.40610549007336
3,1.1,1992,4196,1,34,2,0,0,FALSE,0,0.629542691,LowerSalmon,12.538774808247885,-0.052,320756,2736.772511,16.661740282128367,20.74275576581904,19.202614884728455,17.34696147962731
3,1.1,1993,3366,3,12,22,0,0,FALSE,0,0.29340035,LowerSalmon,12.091176430384316,0.15711111111111112,99703,3065.185212,16.561810965750404,20.822990543735223,19.21844322485893,17.245208333333334
3,1.1,1994,1690,9,22,5,0,0,FALSE,0,0.035714286,LowerSalmon,12.247067292531332,0.189,345800,3433.007438,16.553916837997733,20.92884558606436,19.322336398053,17.280839986115932
3,1.1,1995,447,10,20,6,0,0,FALSE,0,0.076418819,LowerSalmon,11.81889804204305,0.06966666666666668,37700,3844.96833,16.522871704524004,21.075708382526564,19.3704046957059,17.315809563467276
3,1.1,1996,871,4,32,1,0,0,FALSE,0,0.093103296,LowerSalmon,12.578506151835125,0.09644444444444444,0,4306.36453,16.310598265471114,21.267857142857142,19.459774552192712,17.249218912726516
3,1.1,1997,1927,16,20,1,0,0,FALSE,0,0.005852745,LowerSalmon,12.72436793645223,0.25222222222222224,0,4823.128274,16.08862539349423,21.365500959126457,19.510731933292156,17.122761970853574
3,1.1,1998,4206,5,29,3,0,0,FALSE,0,0.134686804,LowerSalmon,10.887162367502848,0.321,152500,5401.903666,16.091111157709324,21.488193624557265,19.5596138996139,17.12580600429869
3,1.1,1999,1535,19,11,7,0,0,FALSE,0,0.053074629,LowerSalmon,11.777251243591309,0.22533333333333333,0,6050.132106,15.747662569597647,21.49224405377456,19.442469670040953,16.869575782823024
3,1.1,2000,3834,9,27,0,0,0,FALSE,0,0.142318748,LowerSalmon,11.144559780756632,0.2701111111111111,0,6776.147959,15.43167734481672,21.349483013293945,19.06506955177743,16.482018883643434
3,1.1,2001,4133,13,22,2,0,0,FALSE,0,0.440409284,LowerSalmon,10.872010946273804,0.2856666666666667,273800,7589.285714,15.494613494613494,21.437066548620333,19.066893248879964,16.533051112113537
3,1.1,2002,5086,18,16,3,0,0,FALSE,0,0.348126381,LowerSalmon,12.170888980229696,0.21666666666666667,280000,8500,15.575184811827956,21.765018450184503,19.247296044499382,16.674708414329352
3,1.1,2003,6448,3,33,1,0,0,FALSE,0,0.436249764,LowerSalmon,12.700746695200602,0.22144444444444444,615000,7400,15.257997393753415,21.43652199586655,18.903804515929476,16.276756869420225
3,1.1,2004,6418,5,28,4,0,0,FALSE,0,0.259981527,LowerSalmon,12.547542174657186,0.1237777777777778,18700,6300,15.6747596305569,21.817094774136404,19.239100185528756,16.679388251651027
3,1.1,2005,1377,6,22,8,0,0,FALSE,0,0.574043794,LowerSalmon,11.608026345570885,0.418,537150,3250,15.64339503575936,21.94906997342781,19.319864019160935,16.766726881122768
3,1.1,2006,1195,5,30,2,0,0,FALSE,0,0.350815206,LowerSalmon,11.321085770924888,0.1622222222222222,185280,2310,15.475748194014448,22.02395386662724,19.24194547707559,16.428412295053434
